wavenumber,abs,,
10680.98923,0.98606,62.33456,59.21417905
10680.95023,0.98678,62.31728,59.20597098
10680.94223,1.04845,60.8372,58.49865383
10680.91223,0.97821,62.52296,59.30359601
10680.87623,0.96337,62.87912,59.47226665
10680.84223,1.00646,61.84496,58.98117496
10680.80723,0.98408,62.38208,59.23674535
10680.77223,1.00432,61.89632,59.00566075
10680.73123,1.01424,61.65824,58.89207077
10680.69423,0.9778,62.5328,59.30826249
10680.65623,0.99699,62.07224,59.08945337
10680.62223,1.01449,61.65224,58.88920529
10680.58723,1.02487,61.40312,58.7701072
10680.55123,1.00953,61.77128,58.9460304
10680.52023,0.96901,62.74376,59.40821913
10680.49623,0.98013,62.47688,59.28173833
10680.49023,1.00477,61.88552,59.00051271
10680.30423,1.00765,61.8164,58.96755464
10680.28523,0.99619,62.09144,59.09859135
10680.26723,0.99105,62.2148,59.15726921
10680.23223,0.98052,62.46752,59.27729751
10680.19323,0.98846,62.27696,59.18681441
10680.14823,0.99227,62.18552,59.14334705
10680.11123,1.00033,61.99208,59.05128703
10680.10623,0.97212,62.66912,59.37287259
10680.07523,1.00362,61.91312,59.01366791
10680.04023,0.99426,62.13776,59.12063092
10680.00723,0.99921,62.01896,59.06408807
10679.96923,0.99249,62.18024,59.14083615
10679.92523,0.99241,62.18216,59.14174921
10679.88723,0.99724,62.06624,59.08659747
10679.85323,1.00324,61.92224,59.0180142
10679.81823,0.96806,62.76656,59.41901211
10679.78223,1.00152,61.96352,59.03768288
10679.74123,1.00209,61.94984,59.0311655
10679.70323,0.97361,62.63336,59.35593062
10679.66623,0.99315,62.1644,59.1333028
10679.64023,0.99142,62.20592,59.15304726
10679.61823,0.98604,62.33504,59.21440703
10679.49923,0.97066,62.70416,59.38946876
10679.46423,0.99687,62.07512,59.09082416
10679.42823,1.00018,61.99568,59.05300162
10679.41923,0.97833,62.52008,59.30223014
10679.38623,1.00462,61.88912,59.00222877
10679.34523,0.99115,62.2124,59.15612817
10679.30923,0.99661,62.08136,59.09379409
10679.27323,0.9926,62.1776,59.13958065
10679.23823,1.0005,61.988,59.04934377
10679.20323,0.96193,62.91368,59.48860815
10679.16123,1.03075,61.262,58.70253402
10679.12223,0.99122,62.21072,59.15532943
10679.08623,0.99898,62.02448,59.06671652
10679.04923,1.0038,61.9088,59.01160903
10679.01423,0.99931,62.01656,59.06294524
10678.97723,0.99235,62.1836,59.142434
10678.93923,0.95891,62.98616,59.52286535
10678.90423,0.97307,62.64632,59.36207122
10678.87423,0.96991,62.72216,59.39799239
10678.83823,0.98806,62.28656,59.19137606
10678.83123,0.99827,62.04152,59.07482967
10678.81023,1.0123,61.7048,58.91430217
10678.78223,0.97157,62.68232,59.37912512
10678.62623,1.00465,61.8884,59.00188556
10678.58823,0.99807,62.04632,59.07711486
10678.54823,0.96963,62.72888,59.40117423
10678.54223,0.97619,62.57144,59.32658342
10678.50823,0.96785,62.7716,59.42139766
10678.47423,1.00679,61.83704,58.97739821
10678.43623,1.00578,61.86128,58.98895659
10678.39923,0.96351,62.87576,59.47067765
10678.35423,0.99122,62.21072,59.15532943
10678.31723,1.0015,61.964,59.03791155
10678.28123,0.97883,62.50808,59.29653868
10678.24523,0.99262,62.17712,59.13935238
10678.21023,1.00019,61.99544,59.05288731
10678.17023,0.99093,62.21768,59.15863842
10678.13323,0.99731,62.06456,59.08579779
10678.09923,0.95411,63.10136,59.57727335
10678.06223,0.95806,63.00656,59.53250373
10678.02923,0.9776,62.5376,59.31053869
10677.99523,0.98223,62.42648,59.25782227
10677.96323,0.97966,62.48816,59.28708966
10677.93523,0.9989,62.0264,59.06763073
10677.85423,0.95139,63.16664,59.60808251
10677.74323,0.96867,62.75192,59.4120821
10677.72523,0.96312,62.88512,59.47510404
10677.70323,0.9864,62.3264,59.21030316
10677.66923,0.99911,62.02136,59.06523089
10677.63523,1.00706,61.83056,58.97430797
10677.59223,0.96931,62.73656,59.40481041
10677.55723,0.97412,62.62112,59.35013058
10677.54323,0.96252,62.89952,59.48191322
10677.51823,0.99368,62.15168,59.1272526
10677.48023,0.98911,62.26136,59.17940098
10677.44423,0.99546,62.10896,59.10692853
10677.40823,0.98646,62.32496,59.20961915
10677.37023,0.98209,62.42984,59.25941697
10677.34023,0.98028,62.47328,59.28003036
10677.29723,1.00914,61.78064,58.95049618
10677.26023,0.95803,63.00728,59.53284388
10677.22723,0.97658,62.56208,59.32214595
10677.19023,0.99084,62.21984,59.15966531
10677.15723,0.97926,62.49776,59.29164359
10677.11423,0.96907,62.74232,59.4075374
10677.08223,0.99153,62.20328,59.15179203
10677.05323,0.98,62.48,59.28321854
10676.90423,0.9936,62.1536,59.12816588
10676.86723,0.95934,62.97584,59.51798888
10676.86123,0.98301,62.40776,59.2489367
10676.83023,0.97715,62.5484,59.31565982
10676.79123,0.97239,62.66264,59.36980293
10676.77523,0.95975,62.966,59.51333884
10676.75323,0.96827,62.76152,59.41662646
10676.71123,0.96627,62.80952,59.43934303
10676.67423,0.98744,62.30144,59.19844593
10676.63823,0.9624,62.9024,59.48327496
10676.60423,0.99248,62.18048,59.14095028
10676.57023,0.97505,62.5988,59.33955258
10676.53323,0.98151,62.44376,59.26602315
10676.49523,0.95814,63.00464,59.53159665
10676.45623,0.96032,62.95232,59.50687355
10676.42423,0.97862,62.51312,59.29892916
10676.38923,0.96172,62.91872,59.49099091
10676.35823,0.98449,62.37224,59.23207324
10676.35423,0.93975,63.446,59.73974807
10676.32023,0.97113,62.69288,59.38412667
10676.28523,0.96882,62.74832,59.41037788
